epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1113.9,0.32789,0.40148,0.86379,0.92169,0.96815,0.99136,0.97712,0.21712,0.29942,0.7999,0.000495062,0.000495062,0.000495062
58,1128.03,0.32453,0.39936,0.87186,0.9621,0.99292,0.99325,0.97755,0.20035,0.25021,0.78978,0.000484063,0.000484063,0.000484063
59,1142.27,0.30345,0.36484,0.87014,0.98718,0.99764,0.99486,0.98564,0.20894,0.22133,0.79002,0.000473064,0.000473064,0.000473064
60,1156.58,0.30013,0.37005,0.86313,0.9532,0.97278,0.9925,0.97571,0.22091,0.26382,0.793,0.000462065,0.000462065,0.000462065
61,1171.05,0.30529,0.38999,0.87013,0.97715,0.99252,0.99463,0.9804,0.20309,0.24442,0.78706,0.000451066,0.000451066,0.000451066
62,1185.43,0.32491,0.42065,0.87798,0.97264,0.99764,0.99477,0.98296,0.20986,0.23883,0.78632,0.000440067,0.000440067,0.000440067
63,1199.4,0.29794,0.34972,0.86302,0.96884,0.99136,0.99243,0.98063,0.20074,0.23719,0.78936,0.000429068,0.000429068,0.000429068
64,1213.62,0.30251,0.36256,0.86245,0.98532,0.98678,0.99375,0.98591,0.18707,0.21566,0.7819,0.000418069,0.000418069,0.000418069
65,1246.48,0.2925,0.33507,0.86793,0.99075,0.99261,0.99382,0.98427,0.19646,0.21742,0.77789,0.00040707,0.00040707,0.00040707
66,1262.01,0.29196,0.33775,0.86024,0.98507,0.99764,0.99424,0.98586,0.19729,0.21793,0.7821,0.000396071,0.000396071,0.000396071
67,1276.01,0.29162,0.33098,0.86121,0.96407,0.99512,0.99432,0.98765,0.19119,0.20951,0.77865,0.000385073,0.000385073,0.000385073
68,1289.91,0.29759,0.33278,0.86318,0.97889,0.99764,0.99264,0.98518,0.18182,0.20691,0.78063,0.000374074,0.000374074,0.000374074
69,1303.77,0.30897,0.35207,0.8726,0.97984,0.9918,0.99465,0.98698,0.18993,0.20809,0.78188,0.000363075,0.000363075,0.000363075
70,1317.67,0.28506,0.33116,0.86519,0.98948,0.99488,0.995,0.98874,0.18284,0.19832,0.78116,0.000352076,0.000352076,0.000352076
71,1331.55,0.29408,0.33476,0.85792,0.98869,0.99764,0.995,0.98859,0.18279,0.19938,0.78056,0.000341077,0.000341077,0.000341077
72,1345.44,0.29429,0.33655,0.86119,0.97567,0.98994,0.99442,0.98977,0.17601,0.21454,0.78256,0.000330078,0.000330078,0.000330078
73,1359.67,0.29237,0.33717,0.86281,0.98315,0.97352,0.98854,0.97623,0.20123,0.22957,0.78563,0.000319079,0.000319079,0.000319079
74,1373.86,0.28185,0.32367,0.85261,0.98659,0.98927,0.99487,0.98795,0.17239,0.19549,0.77909,0.00030808,0.00030808,0.00030808
75,1387.79,0.28292,0.30803,0.86404,0.98987,0.98491,0.99465,0.98689,0.17981,0.20025,0.77931,0.000297081,0.000297081,0.000297081
76,1401.77,0.28221,0.2932,0.86099,0.97857,0.99168,0.995,0.99068,0.16761,0.19109,0.77875,0.000286083,0.000286083,0.000286083
77,1415.79,0.27798,0.33215,0.86243,0.97981,0.99294,0.99444,0.98725,0.17125,0.1954,0.78003,0.000275084,0.000275084,0.000275084
78,1429.8,0.27795,0.30869,0.86144,0.96714,0.99183,0.99403,0.98809,0.17328,0.21393,0.77812,0.000264085,0.000264085,0.000264085
79,1443.82,0.28553,0.3147,0.86888,0.97896,0.99203,0.99486,0.98897,0.16539,0.19402,0.77411,0.000253086,0.000253086,0.000253086
80,1457.87,0.27248,0.31497,0.86028,0.99071,0.98845,0.99486,0.99124,0.15825,0.18179,0.77329,0.000242087,0.000242087,0.000242087
81,1472.11,0.26823,0.29434,0.85373,0.99011,0.99683,0.995,0.98881,0.16152,0.1791,0.77481,0.000231088,0.000231088,0.000231088
82,1486.34,0.26806,0.3032,0.86435,0.98651,0.99104,0.99382,0.98729,0.16703,0.18304,0.77868,0.000220089,0.000220089,0.000220089
83,1500.54,0.25917,0.2805,0.85522,0.98926,0.99675,0.99382,0.98636,0.16919,0.17889,0.7795,0.00020909,0.00020909,0.00020909
84,1514.67,0.26954,0.295,0.8616,0.979,0.99764,0.99125,0.98613,0.16294,0.17769,0.77878,0.000198091,0.000198091,0.000198091
85,1528.83,0.25498,0.2837,0.85276,0.99048,0.99764,0.99285,0.98839,0.16756,0.17523,0.77839,0.000187092,0.000187092,0.000187092
86,1542.93,0.26233,0.28722,0.85808,0.9887,0.99149,0.995,0.98954,0.1584,0.17629,0.77614,0.000176094,0.000176094,0.000176094
87,1557,0.25769,0.28127,0.85031,0.99063,0.99764,0.995,0.9916,0.15478,0.16118,0.77297,0.000165095,0.000165095,0.000165095
88,1571.03,0.25071,0.28357,0.85327,0.99045,0.99764,0.995,0.99086,0.15766,0.16081,0.77318,0.000154096,0.000154096,0.000154096
89,1585.11,0.25249,0.2907,0.8597,0.98874,0.99764,0.995,0.98957,0.15351,0.16394,0.77372,0.000143097,0.000143097,0.000143097
90,1599.14,0.25643,0.26826,0.85663,0.98924,0.99116,0.995,0.98991,0.15774,0.16406,0.77398,0.000132098,0.000132098,0.000132098
91,1611.41,0.17271,0.21249,0.81473,0.98561,0.99623,0.995,0.9899,0.15419,0.16673,0.7729,0.000121099,0.000121099,0.000121099
92,1623.54,0.17718,0.20178,0.81229,0.98997,0.99594,0.995,0.9913,0.15465,0.1651,0.77335,0.0001101,0.0001101,0.0001101
93,1635.85,0.16743,0.19285,0.80744,0.99084,0.99764,0.99465,0.99122,0.14789,0.16153,0.76953,9.91012e-05,9.91012e-05,9.91012e-05
94,1648.14,0.16373,0.19004,0.81172,0.98916,0.99214,0.99486,0.99148,0.14517,0.16347,0.7708,8.81023e-05,8.81023e-05,8.81023e-05
95,1660.38,0.16415,0.19541,0.80332,0.98431,0.99108,0.995,0.98972,0.15092,0.1609,0.77283,7.71034e-05,7.71034e-05,7.71034e-05
96,1672.59,0.15889,0.18809,0.8037,0.9892,0.99142,0.995,0.99087,0.14337,0.15758,0.76923,6.61045e-05,6.61045e-05,6.61045e-05
97,1684.85,0.14992,0.17553,0.79557,0.98943,0.99252,0.995,0.99068,0.14077,0.15225,0.76904,5.51056e-05,5.51056e-05,5.51056e-05
98,1697.23,0.15276,0.18151,0.80276,0.98999,0.99655,0.995,0.99083,0.14084,0.15,0.76925,4.41067e-05,4.41067e-05,4.41067e-05
99,1709.64,0.14717,0.17235,0.79357,0.99065,0.99628,0.995,0.99141,0.13709,0.14434,0.768,3.31078e-05,3.31078e-05,3.31078e-05
100,1722.04,0.14765,0.16952,0.80319,0.99047,0.99764,0.995,0.99125,0.13457,0.14029,0.76735,2.21089e-05,2.21089e-05,2.21089e-05
